miRNA_Name	EC18	EC19	EC38	EC54	EC63	EC64	EC65	EC7	EU18	EU19	EU38	EU54	EU63	EU64	EU65	EU7
hsa-miR-493-3p	270	1244	945	290	365	270	297	618	330	303	213	414	598	382	299	228
hsa-miR-26a-1-3p	4	1	7	4	10	0	5	5	9	25	19	7	13	10	21	14
hsa-miR-379-3p	47	249	177	52	62	57	51	72	82	85	52	95	179	94	63	63
hsa-miR-3942-3p	1	2	1	2	1	1	3	1	1	2	2	8	4	2	0	6
hsa-miR-4768-3p	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-455-3p	169	511	373	179	385	200	184	360	994	1323	890	1171	808	924	484	1813
hsa-miR-27b-3p	210786	398176	281554	231561	279857	293022	185318	300752	405064	547438	383590	452871	501388	484895	417280	403843
hsa-miR-656-3p	58	204	123	57	107	55	93	86	39	47	51	47	44	29	69	27
hsa-miR-30a-5p	48423	48276	52233	44350	39028	32714	35057	47254	103896	129411	162082	136611	185355	214331	270836	118173
hsa-miR-6862-5p	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0
hsa-miR-5189-5p	0	4	1	1	2	2	2	0	1	1	0	1	1	0	1	1
hsa-miR-328-3p	327	497	240	181	221	302	321	471	266	273	178	178	108	156	105	144
hsa-miR-6828-5p	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-127-3p	381	1712	1100	385	1165	1078	360	881	273	281	228	357	808	191	252	212
hsa-miR-6733-3p	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
hsa-miR-1304-3p	0	17	0	1	0	0	1	0	0	72	3	53	1	1	1	1
hsa-miR-4762-5p	2	1	1	1	0	1	0	1	4	4	6	3	1	2	4	4
hsa-miR-6847-3p	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-6830-3p	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
hsa-miR-181a-2-3p	841	1318	1062	1033	920	1116	798	567	1569	2197	2159	3270	1688	2620	1603	3042
hsa-miR-181c-5p	8020	10656	10908	6877	9859	13912	6008	11403	12843	23146	24218	13415	12618	27749	16688	21294
hsa-miR-335-3p	0	3	0	1	1	2	2	1	2	2	0	8	2	2	2	1
hsa-miR-654-3p	1840	9334	6221	2149	4872	2433	2271	4020	2749	2823	2687	3716	6806	3167	3885	1614
hsa-miR-362-5p	312	299	265	216	416	141	272	267	157	211	258	435	252	203	198	351
hsa-miR-449c-5p	42	9	19	61	118	4	28	54	2321	2655	5989	16904	3394	5305	2513	14207
hsa-miR-411-3p	137	640	314	132	164	197	117	166	211	135	140	206	728	165	154	93
hsa-miR-522-5p	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
hsa-miR-4685-5p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7705	78	57	79	50	40	20	37	74	46	99	84	90	78	110	55	100
hsa-miR-7706	27	16	22	14	8	14	29	23	45	54	48	39	45	67	46	32
hsa-miR-6803-3p	1	1	0	0	0	1	1	0	0	0	0	1	0	0	1	0
hsa-miR-7702	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
